Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2023,191,"Croatia",03,"Container ships",0.6701,,,17,,,46467,,,,,"Not available or not separately reported",4277,,,153774,,,,,"Not available or not separately reported",15500,,
2023,191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",18,,,3511,,,,,"Not available or not separately reported",,,"Not available or not separately reported",155873,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,208,"Denmark",00,"All ships",0.7368,,,22,,,9990,,,7491,,,1978,,,214286,,,180086,,,19630,,
2023,208,"Denmark",02,"Liquid bulk carriers",0.6729,,,18,,,7685,,,12229,,,,,"Not available or not separately reported",93759,,,164787,,,,,"Not available or not separately reported"
2023,208,"Denmark",07,"Liquefied petroleum gas carriers",1.2667,,,13,,,3844,,,4240,,,,,"Not available or not separately reported",13549,,,15070,,,,,"Not available or not separately reported"
2023,208,"Denmark",05,"Dry bulk carriers",0.8069,,,12,,,10069,,,16442,,,,,"Not available or not separately reported",94863,,,180086,,,,,"Not available or not separately reported"
2023,208,"Denmark",04,"Dry breakbulk carriers",0.8049,,,24,,,3104,,,4313,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2023,208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,23619,,,12755,,,,,"Not available or not separately reported",72708,,,48988,,,,,"Not available or not separately reported"
2023,208,"Denmark",03,"Container ships",0.5701,,,17,,,21745,,,,,"Not available or not separately reported",1978,,,214286,,,,,"Not available or not separately reported",19630,,
2023,208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",22,,,10400,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183200,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,251,"France",00,"All ships",1.1444,,,18,,,23198,,,18991,,,5579,,,236583,,,320916,,,24116,,
2023,251,"France",02,"Liquid bulk carriers",1.0486,,,13,,,13965,,,24091,,,,,"Not available or not separately reported",166639,,,320916,,,,,"Not available or not separately reported"
2023,251,"France",07,"Liquefied petroleum gas carriers",1.2229,,,13,,,8973,,,9993,,,,,"Not available or not separately reported",53573,,,58312,,,,,"Not available or not separately reported"
2023,251,"France",08,"Liquefied natural gas carriers",1.141,,,9,,,105836,,,82753,,,,,"Not available or not separately reported",163922,,,130442,,,,,"Not available or not separately reported"
2023,251,"France",05,"Dry bulk carriers",3.25,,,15,,,24441,,,42694,,,,,"Not available or not separately reported",106251,,,207867,,,,,"Not available or not separately reported"
2023,251,"France",04,"Dry breakbulk carriers",1.5288,,,20,,,4508,,,6514,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,251,"France",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,27389,,,11440,,,,,"Not available or not separately reported",76420,,,45200,,,,,"Not available or not separately reported"
2023,251,"France",03,"Container ships",0.8535,,,14,,,61200,,,,,"Not available or not separately reported",5579,,,236583,,,,,"Not available or not separately reported",24116,,
2023,251,"France",01,"Passenger ships",,,"Not available or not separately reported",19,,,24031,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,276,"Germany",00,"All ships",0.6444,,,22,,,13133,,,9747,,,5015,,,237000,,,321300,,,24004,,
2023,276,"Germany",02,"Liquid bulk carriers",0.4351,,,19,,,4738,,,8675,,,,,"Not available or not separately reported",170611,,,321300,,,,,"Not available or not separately reported"
2023,276,"Germany",07,"Liquefied petroleum gas carriers",0.8674,,,16,,,5300,,,5950,,,,,"Not available or not separately reported",47789,,,54650,,,,,"Not available or not separately reported"
2023,276,"Germany",08,"Liquefied natural gas carriers",1.2069,,,11,,,33988,,,28691,,,,,"Not available or not separately reported",135977,,,98936,,,,,"Not available or not separately reported"
2023,276,"Germany",05,"Dry bulk carriers",2.516,,,13,,,28955,,,49766,,,,,"Not available or not separately reported",109768,,,209338,,,,,"Not available or not separately reported"
2023,276,"Germany",04,"Dry breakbulk carriers",0.6014,,,28,,,3621,,,5087,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,276,"Germany",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,32947,,,13411,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2023,276,"Germany",03,"Container ships",1.0174,,,15,,,54461,,,,,"Not available or not separately reported",5015,,,237000,,,,,"Not available or not separately reported",24004,,
2023,276,"Germany",01,"Passenger ships",,,"Not available or not separately reported",22,,,11990,,,,,"Not available or not separately reported",,,"Not available or not separately reported",206285,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,300,"Greece",00,"All ships",0.8333,,,24,,,8681,,,7421,,,4376,,,237000,,,319359,,,24004,,
2023,300,"Greece",02,"Liquid bulk carriers",0.6125,,,23,,,5153,,,8069,,,,,"Not available or not separately reported",161692,,,319359,,,,,"Not available or not separately reported"
2023,300,"Greece",07,"Liquefied petroleum gas carriers",0.9743,,,26,,,5165,,,6189,,,,,"Not available or not separately reported",25004,,,28702,,,,,"Not available or not separately reported"
2023,300,"Greece",08,"Liquefied natural gas carriers",1.166,,,11,,,104182,,,83840,,,,,"Not available or not separately reported",144828,,,98954,,,,,"Not available or not separately reported"
2023,300,"Greece",05,"Dry bulk carriers",0.6892,,,28,,,7119,,,12011,,,,,"Not available or not separately reported",94232,,,182511,,,,,"Not available or not separately reported"
2023,300,"Greece",04,"Dry breakbulk carriers",1.1413,,,34,,,2968,,,4154,,,,,"Not available or not separately reported",40350,,,64942,,,,,"Not available or not separately reported"
2023,300,"Greece",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",35,,,15791,,,6470,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2023,300,"Greece",03,"Container ships",1.034,,,17,,,46846,,,,,"Not available or not separately reported",4376,,,237000,,,,,"Not available or not separately reported",24004,,
2023,300,"Greece",01,"Passenger ships",,,"Not available or not separately reported",23,,,8123,,,,,"Not available or not separately reported",,,"Not available or not separately reported",186364,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,360,"Indonesia",00,"All ships",1.2625,,,20,,,7833,,,16885,,,1280,,,176435,,,319247,,,16000,,
2023,360,"Indonesia",02,"Liquid bulk carriers",1.3243,,,16,,,8589,,,13471,,,,,"Not available or not separately reported",161175,,,319247,,,,,"Not available or not separately reported"
2023,360,"Indonesia",07,"Liquefied petroleum gas carriers",1.0785,,,21,,,8254,,,9047,,,,,"Not available or not separately reported",53573,,,59479,,,,,"Not available or not separately reported"
2023,360,"Indonesia",08,"Liquefied natural gas carriers",1.4188,,,17,,,94456,,,72581,,,,,"Not available or not separately reported",136739,,,98954,,,,,"Not available or not separately reported"
2023,360,"Indonesia",05,"Dry bulk carriers",2.6931,,,18,,,25723,,,45358,,,,,"Not available or not separately reported",109716,,,211135,,,,,"Not available or not separately reported"
2023,360,"Indonesia",04,"Dry breakbulk carriers",1.1563,,,21,,,5134,,,6915,,,,,"Not available or not separately reported",57934,,,72562,,,,,"Not available or not separately reported"
2023,360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",29,,,10291,,,4874,,,,,"Not available or not separately reported",75528,,,32956,,,,,"Not available or not separately reported"
2023,360,"Indonesia",03,"Container ships",0.9653,,,16,,,14237,,,,,"Not available or not separately reported",1280,,,176435,,,,,"Not available or not separately reported",16000,,
2023,360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",21,,,5016,,,,,"Not available or not separately reported",,,"Not available or not separately reported",130818,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,380,"Italy",00,"All ships",1.2799,,,28,,,10908,,,20716,,,3963,,,236184,,,319202,,,24000,,
2023,380,"Italy",02,"Liquid bulk carriers",1.2635,,,19,,,18506,,,31686,,,,,"Not available or not separately reported",160087,,,319202,,,,,"Not available or not separately reported"
2023,380,"Italy",07,"Liquefied petroleum gas carriers",1.5816,,,15,,,8684,,,9778,,,,,"Not available or not separately reported",48963,,,54656,,,,,"Not available or not separately reported"
2023,380,"Italy",08,"Liquefied natural gas carriers",2.0733,,,14,,,56587,,,43038,,,,,"Not available or not separately reported",117564,,,96889,,,,,"Not available or not separately reported"
2023,380,"Italy",05,"Dry bulk carriers",3.4597,,,15,,,25106,,,43325,,,,,"Not available or not separately reported",109534,,,210000,,,,,"Not available or not separately reported"
2023,380,"Italy",04,"Dry breakbulk carriers",1.9889,,,20,,,6536,,,9144,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,36648,,,13635,,,,,"Not available or not separately reported",89797,,,47528,,,,,"Not available or not separately reported"
2023,380,"Italy",03,"Container ships",0.8997,,,17,,,44002,,,,,"Not available or not separately reported",3963,,,236184,,,,,"Not available or not separately reported",24000,,
2023,380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",30,,,8043,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,392,"Japan",00,"All ships",0.4111,,,14,,,10439,,,15001,,,1614,,,236500,,,327017,,,15500,,
2023,392,"Japan",02,"Liquid bulk carriers",0.3187,,,12,,,8289,,,14024,,,,,"Not available or not separately reported",169919,,,320299,,,,,"Not available or not separately reported"
2023,392,"Japan",07,"Liquefied petroleum gas carriers",0.3722,,,13,,,6955,,,7612,,,,,"Not available or not separately reported",54634,,,62500,,,,,"Not available or not separately reported"
2023,392,"Japan",08,"Liquefied natural gas carriers",1.0097,,,14,,,65790,,,47780,,,,,"Not available or not separately reported",163922,,,130442,,,,,"Not available or not separately reported"
2023,392,"Japan",05,"Dry bulk carriers",0.8958,,,14,,,17113,,,29548,,,,,"Not available or not separately reported",161294,,,327017,,,,,"Not available or not separately reported"
2023,392,"Japan",04,"Dry breakbulk carriers",1.1417,,,14,,,6878,,,9140,,,,,"Not available or not separately reported",66870,,,80500,,,,,"Not available or not separately reported"
2023,392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,16926,,,7350,,,,,"Not available or not separately reported",77644,,,43878,,,,,"Not available or not separately reported"
2023,392,"Japan",03,"Container ships",0.35,,,13,,,16602,,,,,"Not available or not separately reported",1614,,,236500,,,,,"Not available or not separately reported",15500,,
2023,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",16,,,5313,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,410,"Korea, Republic of",00,"All ships",0.85,,,15,,,19713,,,21528,,,2990,,,236583,,,326932,,,24000,,
2023,410,"Korea, Republic of",02,"Liquid bulk carriers",0.7444,,,14,,,13791,,,23777,,,,,"Not available or not separately reported",167578,,,323514,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.859,,,14,,,8641,,,9450,,,,,"Not available or not separately reported",55833,,,62500,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.034,,,13,,,108541,,,85344,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",05,"Dry bulk carriers",2.7062,,,13,,,33194,,,59825,,,,,"Not available or not separately reported",161294,,,326932,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.1563,,,19,,,5496,,,7984,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",21,,,28620,,,11686,,,,,"Not available or not separately reported",89797,,,47528,,,,,"Not available or not separately reported"
2023,410,"Korea, Republic of",03,"Container ships",0.6465,,,14,,,32172,,,,,"Not available or not separately reported",2990,,,236583,,,,,"Not available or not separately reported",24000,,
2023,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",11,,,16371,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
